Date,Open,High,Low,Close,Adj Close,Volume
2017-11-26,355.721985,366.786011,334.742004,366.786011,366.786011,141228000
2017-11-27,370.178009,387.881012,353.666992,359.244995,359.244995,129160000
2017-11-28,359.355011,360.119995,325.559998,329.783997,329.783997,101004000
2017-11-29,329.403992,360.753998,287.734009,295.411987,295.411987,252312992
2017-11-30,294.329010,323.562988,269.027008,304.635010,304.635010,151331008
2017-12-01,304.337006,315.746002,288.135986,311.640015,311.640015,134598000
2017-12-02,311.509003,315.049011,295.881012,299.071014,299.071014,88196704
2017-12-03,298.839996,347.778015,294.444000,320.664001,320.664001,252844000
2017-12-04,322.011993,339.833008,316.335999,328.381989,328.381989,130453000
2017-12-05,329.470001,329.470001,303.178009,304.684998,304.684998,113206000
2017-12-06,305.657013,305.928986,270.910004,279.890991,279.890991,156602000
2017-12-07,279.028992,279.760986,250.227997,251.636002,251.636002,137884992
2017-12-08,253.707001,278.256012,248.080994,261.161987,261.161987,178502000
2017-12-09,260.842987,263.096985,230.104004,243.104996,243.104996,105017000
2017-12-10,244.975006,245.985992,195.871002,228.873001,228.873001,140891008
2017-12-11,229.326004,288.683014,229.190002,254.447998,254.447998,265127008
2017-12-12,254.352997,294.188995,251.865997,275.445007,275.445007,205848992
2017-12-13,276.109985,285.057007,254.104004,271.450989,271.450989,221863008
2017-12-14,271.428009,352.545990,270.446014,316.954010,316.954010,467875008
2017-12-15,316.868011,316.868011,277.862000,297.839996,297.839996,175999008
2017-12-16,297.063995,313.005005,292.144989,296.395996,296.395996,136415008
2017-12-17,297.605988,306.584991,294.501007,300.484985,300.484985,120807000
2017-12-18,299.997986,332.554993,281.696991,319.531006,319.531006,313796992
2017-12-19,319.808014,367.334991,316.074005,355.179993,355.179993,413363008
2017-12-20,354.376007,488.570007,348.565002,453.454987,453.454987,983169024
2017-12-21,449.746002,460.867004,369.166992,406.773010,406.773010,352177984
2017-12-22,416.436005,416.752991,259.875000,305.730011,305.730011,313312992
2017-12-23,308.756012,354.886993,305.994995,334.563995,334.563995,217778000
2017-12-24,334.549988,334.549988,289.774994,305.221008,305.221008,144898000
2017-12-25,307.485992,311.997009,295.272003,309.334015,309.334015,104619000
2017-12-26,305.833008,316.279999,299.032990,307.289001,307.289001,110025000
2017-12-27,307.585999,330.971985,300.933014,317.881989,317.881989,135076992
2017-12-28,318.782990,318.782990,274.286011,284.341003,284.341003,134169000
2017-12-29,285.769989,291.295990,267.740997,280.579010,280.579010,114615000
2017-12-30,281.115997,281.623993,248.565994,251.507004,251.507004,96001296
2017-12-31,250.119003,267.881012,249.056000,261.722992,261.722992,78952096
2018-01-01,261.627991,297.165985,255.761993,272.904999,272.904999,143836000
2018-01-02,275.415009,284.955994,270.834991,277.076996,277.076996,117571000
2018-01-03,276.121002,281.968994,267.178009,270.240997,270.240997,106643000
2018-01-04,272.432007,280.118988,258.888000,273.756989,273.756989,136988000
2018-01-05,274.580994,294.789001,266.546997,277.444000,277.444000,175164992
2018-01-06,277.447998,300.377014,273.822998,300.377014,300.377014,172099008
2018-01-07,299.596985,335.843994,292.492004,302.247009,302.247009,203684000
2018-01-08,302.282013,307.442993,217.718002,239.548996,239.548996,164036000
2018-01-09,239.059998,252.666000,227.770004,240.895004,240.895004,152475008
2018-01-10,240.878998,243.362000,223.425003,243.362000,243.362000,131618000
2018-01-11,242.688004,243.882996,206.554993,210.932999,210.932999,122452000
2018-01-12,211.643005,224.576004,207.126999,220.546005,220.546005,113420000
2018-01-13,220.421997,366.114014,220.100998,330.128998,330.128998,1160489984
2018-01-14,339.057007,382.885010,272.095001,275.855988,275.855988,851848000
2018-01-15,276.372009,332.559998,264.696991,267.675995,267.675995,1688999936
2018-01-16,266.348999,266.348999,151.417999,190.106995,190.106995,439329984
2018-01-17,189.880005,209.350006,146.949997,186.117004,186.117004,347983008
2018-01-18,186.789993,208.255997,181.694000,195.399002,195.399002,248324992
2018-01-19,193.123993,242.018997,191.804001,217.949997,217.949997,667273984
2018-01-20,219.160995,237.606995,213.789993,231.125000,231.125000,288868992
2018-01-21,230.639999,230.639999,193.279999,198.436996,198.436996,182216992
2018-01-22,200.119003,220.934006,175.445999,190.326996,190.326996,222920000
2018-01-23,189.889999,200.248001,174.542999,188.757996,188.757996,104756000
2018-01-24,189.042007,201.153000,184.046997,190.789001,190.789001,89823400
2018-01-25,193.059006,195.906006,182.912003,187.039001,187.039001,65369400
2018-01-26,186.694000,194.841995,170.057999,180.848007,180.848007,90095696
2018-01-27,181.634995,185.682007,177.384003,185.462006,185.462006,55528300
2018-01-28,186.804993,195.619995,186.223007,189.162003,189.162003,130075000
2018-01-29,188.891006,193.033997,178.632004,181.589005,181.589005,49388600
2018-01-30,182.328003,182.328003,158.485001,159.125000,159.125000,47888900
2018-01-31,158.345001,159.115997,146.496994,156.957001,156.957001,56636600
2018-02-01,156.888000,158.490005,122.870003,127.569000,127.569000,51720700
2018-02-02,127.888000,127.888000,89.153503,110.224998,110.224998,84321296
2018-02-03,110.163002,116.967003,97.987297,114.477997,114.477997,42576100
2018-02-04,113.636002,121.305000,99.118797,100.556000,100.556000,52606600
2018-02-05,100.921997,102.264999,81.603203,84.624199,84.624199,33394900
2018-02-06,85.272003,94.235397,72.119797,92.986504,92.986504,47319600
2018-02-07,92.595001,98.431801,84.755501,87.554802,87.554802,35079700
2018-02-08,87.578300,111.194000,87.578300,104.093002,104.093002,95463000
2018-02-09,103.913002,168.039001,99.866798,166.085999,166.085999,110290000
2018-02-10,165.326996,168.518005,125.705002,129.417999,129.417999,72058400
2018-02-11,129.858994,133.748001,113.862000,123.263000,123.263000,53976000
2018-02-12,123.461998,138.203003,112.072998,115.491997,115.491997,32417600
2018-02-13,115.410004,124.987999,108.344002,121.809998,121.809998,84443104
2018-02-14,121.625000,129.651001,120.761002,128.914993,128.914993,84193696
2018-02-15,128.194000,133.018997,126.152000,132.589005,132.589005,52837400
2018-02-16,132.259995,144.194000,131.593002,141.766006,141.766006,83658704
2018-02-17,141.132996,145.464005,138.440002,143.158997,143.158997,53976000
2018-02-18,143.500000,147.556000,128.050995,131.270004,131.270004,65481300
2018-02-19,131.544998,141.647003,131.205002,141.412994,141.412994,43253800
2018-02-20,141.190002,142.893005,132.796997,133.121002,133.121002,52897600
2018-02-21,132.126999,133.815994,120.610001,123.639999,123.639999,40865000
2018-02-22,123.275002,128.356995,113.126999,119.732002,119.732002,42122500
2018-02-23,118.702003,126.050003,118.518997,124.314003,124.314003,46248700
2018-02-24,123.889000,126.783997,115.428001,118.025002,118.025002,24640700
2018-02-25,117.828003,120.420998,111.597000,114.896004,114.896004,19969000
2018-02-26,115.213997,120.357002,112.871002,119.821999,119.821999,24567900
2018-02-27,119.851997,124.553001,118.571999,121.314003,121.314003,36913200
2018-02-28,120.360001,121.955002,112.999001,113.176003,113.176003,21112300
2018-03-01,113.067001,118.986000,111.584999,113.581001,113.581001,26936600
2018-03-02,113.566002,115.097000,110.325996,111.678001,111.678001,30317000
2018-03-03,111.606003,113.931999,110.342003,111.750000,111.750000,19943900
2018-03-04,111.650002,113.077003,108.747002,113.077003,113.077003,19616800
2018-03-05,113.059998,113.192001,109.572998,111.033997,111.033997,22328900
2018-03-06,110.758003,110.758003,101.791000,103.125000,103.125000,25065500
2018-03-07,103.087997,104.191002,88.624496,91.599800,91.599800,28628100
2018-03-08,91.497002,93.998596,86.436501,87.265503,87.265503,22878700
2018-03-09,86.961601,87.727501,77.017700,85.727203,85.727203,27151600
2018-03-10,85.718300,87.810097,80.462700,81.379898,81.379898,19514900
2018-03-11,81.080200,85.710197,78.697701,84.710602,84.710602,18510800
2018-03-12,84.675003,86.439400,77.835503,80.068901,80.068901,16334300
2018-03-13,79.724899,80.943398,77.661499,79.152199,79.152199,17303400
2018-03-14,79.097702,80.252701,66.880402,68.639297,68.639297,23511600
2018-03-15,68.527901,68.855400,62.870701,66.200104,66.200104,31260500
2018-03-16,66.251099,68.338402,62.436298,63.154701,63.154701,28649700
2018-03-17,63.199799,66.275497,58.357300,58.969299,58.969299,15795900
2018-03-18,58.606201,59.887600,52.543098,59.454300,59.454300,26012900
2018-03-19,59.826000,69.316101,58.563499,68.428200,68.428200,42187500
2018-03-20,68.389801,69.522598,61.938801,66.187202,66.187202,42417800
2018-03-21,66.356903,68.666397,64.474800,66.025002,66.025002,32135500
2018-03-22,65.352402,67.281799,59.243099,61.887001,61.887001,25006000
2018-03-23,61.848701,62.009800,57.926300,60.269199,60.269199,25689800
2018-03-24,60.723598,64.169800,59.370300,60.853401,60.853401,24780300
2018-03-25,60.001099,63.071999,58.534401,60.481602,60.481602,19231100
2018-03-26,60.509701,61.904598,52.961700,56.438900,56.438900,20747400
2018-03-27,56.460602,56.736000,52.325699,52.720100,52.720100,14757300
2018-03-28,52.631199,56.000801,52.383598,53.132198,53.132198,14219400
2018-03-29,53.199699,53.275902,45.384998,45.699501,45.699501,16339100
2018-03-30,45.699200,47.021900,43.176300,44.546101,44.546101,13761600
2018-03-31,44.521301,46.575298,44.042099,44.344501,44.344501,7037180
2018-04-01,44.395302,44.883801,39.180199,41.216599,41.216599,8668900
2018-04-02,41.417900,43.506302,41.017200,42.937801,42.937801,8366690
2018-04-03,43.022900,48.091801,42.603699,46.972500,46.972500,21330600
2018-04-04,46.844700,46.999802,42.047401,42.202702,42.202702,11470400
2018-04-05,42.141300,43.339500,39.799400,41.589802,41.589802,15492900
2018-04-06,41.590698,42.006001,38.998402,39.614899,39.614899,7731100
2018-04-07,39.742599,41.752499,39.712002,41.157700,41.157700,6153040
2018-04-08,41.212601,42.407101,41.172501,42.101501,42.101501,5044870
2018-04-09,42.092999,44.111099,40.451401,41.204399,41.204399,8747160
2018-04-10,41.221100,41.240501,40.054199,40.875801,40.875801,7640680
2018-04-11,40.811401,42.683300,40.811401,42.251999,42.251999,13074500
2018-04-12,42.411499,46.582600,40.754002,46.317402,46.317402,30858900
2018-04-13,46.413200,48.528099,44.935902,45.397301,45.397301,22189300
2018-04-14,45.098999,46.864300,44.574699,45.607300,45.607300,10333700
2018-04-15,45.771400,49.380199,45.771400,48.965099,48.965099,14013200
2018-04-16,48.931099,54.490601,48.931099,52.760899,52.760899,63597200
2018-04-17,52.764500,53.013302,50.867100,51.032600,51.032600,20651400
2018-04-18,51.111099,55.888699,51.111099,55.223598,55.223598,26852500
2018-04-19,55.341301,59.931499,54.876598,59.931499,59.931499,37101100
2018-04-20,59.886700,71.889397,57.694199,69.559898,69.559898,70074096
2018-04-21,69.939201,70.210602,60.224098,66.650299,66.650299,48952400
2018-04-22,66.640701,68.699203,64.484901,65.995697,65.995697,25525000
2018-04-23,65.840302,78.679398,65.312897,77.828499,77.828499,114377000
