Date,Open,High,Low,Close,Adj Close,Volume
2017-03-07,0.009104,0.009104,0.007643,0.008675,0.008675,23599
2017-03-08,0.008672,0.009798,0.007782,0.009707,0.009707,26158
2017-03-09,0.008916,0.009998,0.006985,0.008343,0.008343,27586
2017-03-10,0.008349,0.008461,0.006658,0.007292,0.007292,27404
2017-03-11,0.007290,0.008130,0.007228,0.007530,0.007530,7099
2017-03-12,0.007535,0.007959,0.007276,0.007878,0.007878,7882
2017-03-13,0.007880,0.007982,0.007851,0.007947,0.007947,7569
2017-03-14,0.007948,0.007948,0.007935,0.007936,0.007936,7559
2017-03-15,null,null,null,null,null,null
2017-03-16,null,null,null,null,null,null
2017-03-17,null,null,null,null,null,null
2017-03-18,null,null,null,null,null,null
2017-03-19,null,null,null,null,null,null
2017-03-20,null,null,null,null,null,null
2017-03-21,null,null,null,null,null,null
2017-03-22,null,null,null,null,null,null
2017-03-23,null,null,null,null,null,null
2017-03-24,null,null,null,null,null,null
2017-03-25,null,null,null,null,null,null
2017-03-26,null,null,null,null,null,null
2017-03-27,null,null,null,null,null,null
2017-03-28,null,null,null,null,null,null
2017-03-29,null,null,null,null,null,null
2017-03-30,0.011288,0.011293,0.010515,0.010552,0.010552,662
2017-03-31,0.010554,0.015000,0.010554,0.014469,0.014469,7032
2017-04-01,0.015325,0.016124,0.012790,0.013506,0.013506,5474
2017-04-02,0.016209,0.016209,0.013456,0.014516,0.014516,7652
2017-04-03,0.015166,0.015452,0.013585,0.014869,0.014869,3805
2017-04-04,0.013975,0.015142,0.012433,0.012636,0.012636,2912
2017-04-05,0.012646,0.014060,0.008653,0.010157,0.010157,3281
2017-04-06,0.010166,0.011585,0.009119,0.010289,0.010289,2073
2017-04-07,0.010257,0.011130,0.008794,0.009286,0.009286,2404
2017-04-08,0.009252,0.011485,0.009150,0.009678,0.009678,3538
2017-04-09,0.009683,0.010795,0.007754,0.008327,0.008327,3133
2017-04-10,0.008347,0.010547,0.007407,0.008488,0.008488,2314
2017-04-11,0.008490,0.010663,0.008448,0.009761,0.009761,4613
2017-04-12,0.009759,0.010803,0.008690,0.009483,0.009483,2812
2017-04-13,0.009260,0.010607,0.009119,0.010371,0.010371,4170
2017-04-14,0.010381,0.011663,0.009569,0.009880,0.009880,2545
2017-04-15,0.009924,0.012250,0.009864,0.010670,0.010670,5274
2017-04-16,0.010671,0.012769,0.010026,0.010658,0.010658,3073
2017-04-17,0.010945,0.010945,0.008916,0.009277,0.009277,1917
2017-04-18,0.009276,0.010363,0.009276,0.009390,0.009390,3372
2017-04-19,0.009394,0.009396,0.007897,0.008714,0.008714,3017
2017-04-20,0.008780,0.009684,0.008023,0.008112,0.008112,3753
2017-04-21,0.008114,0.008627,0.006968,0.007357,0.007357,4954
2017-04-22,0.007397,0.010377,0.007382,0.009669,0.009669,4271
2017-04-23,0.009855,0.010830,0.009459,0.010285,0.010285,5773
2017-04-24,0.010306,0.011815,0.009210,0.011489,0.011489,11369
2017-04-25,0.011879,0.011887,0.010681,0.011160,0.011160,5046
2017-04-26,0.011111,0.011890,0.010281,0.011447,0.011447,8018
2017-04-27,0.011282,0.012154,0.010994,0.011776,0.011776,6898
2017-04-28,0.011776,0.012190,0.011197,0.011531,0.011531,6570
2017-04-29,0.011543,0.012262,0.011352,0.012022,0.012022,5367
2017-04-30,0.012023,0.018088,0.011774,0.016603,0.016603,30744
2017-05-01,0.016533,0.017836,0.013788,0.016189,0.016189,6607
2017-05-02,0.016211,0.017906,0.015576,0.016913,0.016913,5172
2017-05-03,0.016923,0.017007,0.015563,0.015988,0.015988,5081
2017-05-04,0.015994,0.016834,0.014910,0.015462,0.015462,6749
2017-05-05,0.015495,0.016589,0.013329,0.013329,0.013329,7825
2017-05-06,0.013536,0.016090,0.013360,0.015327,0.015327,7373
2017-05-07,0.015333,0.016175,0.015194,0.015770,0.015770,7992
2017-05-08,0.015772,0.018257,0.014407,0.016293,0.016293,15086
2017-05-09,0.016298,0.017213,0.014584,0.015102,0.015102,9361
2017-05-10,0.015112,0.015124,0.013289,0.014300,0.014300,3820
2017-05-11,0.014325,0.019623,0.013055,0.014432,0.014432,15486
2017-05-12,0.014447,0.017927,0.013912,0.014194,0.014194,6114
2017-05-13,0.014165,0.015739,0.012194,0.013479,0.013479,9681
2017-05-14,0.013522,0.017605,0.012803,0.014367,0.014367,17697
2017-05-15,0.014375,0.016610,0.013314,0.014008,0.014008,11548
2017-05-16,0.013988,0.017491,0.013661,0.015187,0.015187,25261
2017-05-17,0.015183,0.018237,0.014704,0.016317,0.016317,23791
2017-05-18,0.016309,0.018226,0.013311,0.016358,0.016358,24370
2017-05-19,0.016367,0.019753,0.009866,0.019719,0.019719,61380
2017-05-20,0.019697,0.020527,0.016209,0.020527,0.020527,24413
2017-05-21,0.020520,0.024611,0.019148,0.019803,0.019803,19092
2017-05-22,0.019870,0.025981,0.019805,0.022650,0.022650,39256
