Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,195.714401,196.191376,193.571594,195.936371,195.936371,1453121618
2020-06-04,195.938736,198.936478,194.168228,197.617447,197.617447,1439365836
2020-06-05,197.602356,199.180725,195.646591,196.797043,196.797043,1351691438
2020-06-06,196.797043,196.797043,193.48053,194.332062,194.332062,1192456208
2020-06-07,194.332062,195.242249,188.610733,194.068893,194.068893,1370911213
2020-06-08,194.033508,194.200287,189.959625,191.932114,191.932114,1155709978
2020-06-09,191.949005,192.805191,189.521698,191.127945,191.127945,1190330474
2020-06-10,191.131699,196.130219,190.676361,194.155457,194.155457,1397632297
2020-06-11,194.186768,194.820816,180.759293,181.645691,181.645691,1415523960
2020-06-12,181.579453,185.03688,180.552567,183.093353,183.093353,1170656232
2020-06-13,183.150879,183.346863,181.481781,182.889526,182.889526,884987750
2020-06-14,182.897354,184.213043,179.308746,180.016541,180.016541,897770498
2020-06-15,180.016541,180.142776,168.87355,175.660889,175.660889,1175534897
2020-06-16,175.650101,177.643188,174.06723,176.161758,176.161758,1039083053
2020-06-17,176.153442,177.988464,173.62616,177.835327,177.835327,900627312
2020-06-18,177.84758,177.889709,173.865616,175.265503,175.265503,884757053
2020-06-19,175.322601,175.409378,171.786789,173.008545,173.008545,1094218560
2020-06-20,172.264938,175.507202,170.38002,173.349808,173.349808,1122555280
2020-06-21,172.834564,175.746307,172.36731,172.493118,172.493118,904961186
2020-06-22,172.45784,177.996338,172.426208,175.71019,175.71019,1233458039
2020-06-23,176.921768,181.361176,174.843033,180.541534,180.541534,962634733
2020-06-24,180.726501,182.298233,171.784531,172.923172,172.923172,987310377
2020-06-25,172.836243,173.248428,169.484329,172.36441,172.36441,938923928
2020-06-26,172.328613,173.00412,168.331848,169.246048,169.246048,1019173317
2020-06-27,169.27832,170.369522,155.015869,162.125153,162.125153,1124096210
2020-06-28,162.125153,162.310547,154.353745,159.373093,159.373093,1069996720
2020-06-29,159.420288,161.274475,156.374481,160.10495,160.10495,1025204103
2020-06-30,159.128387,160.575562,157.035965,158.150452,158.150452,939565958
2020-07-01,158.506104,159.242599,154.380692,157.098755,157.098755,989072226
2020-07-02,157.063843,158.09993,153.605499,155.894333,155.894333,876911589
2020-07-03,155.913208,156.925522,154.117615,155.235168,155.235168,878500995
2020-07-04,155.211472,157.156235,153.354034,155.163467,155.163467,896022460
2020-07-05,155.535873,156.341171,151.935822,153.753098,153.753098,878715915
2020-07-06,153.753098,193.978241,153.489304,191.858612,191.858612,1939468353
2020-07-07,191.924881,193.978973,181.951447,184.370056,184.370056,1430074505
2020-07-08,184.460693,190.697403,183.123703,188.983002,188.983002,1397988017
2020-07-09,188.983002,190.044159,183.448898,185.679291,185.679291,1136387373
2020-07-10,185.485382,185.485382,178.943909,182.665085,182.665085,1188008038
2020-07-11,182.67659,183.566299,181.176788,182.83931,182.83931,879154454
2020-07-12,182.843842,187.022278,182.843842,185.911911,185.911911,1021383727
2020-07-13,185.911911,186.299667,180.703613,182.113403,182.113403,1108494832
2020-07-14,182.113403,182.163498,179.026352,181.605026,181.605026,1032117613
2020-07-15,181.077393,183.614609,178.80809,179.674622,179.674622,1097492089
2020-07-16,179.778748,180.385254,171.983398,173.096085,173.096085,1074372007
2020-07-17,173.139816,173.967422,170.77774,172.047897,172.047897,1049429000
2020-07-18,171.985733,174.354782,171.410828,172.778366,172.778366,1011992052
2020-07-19,172.750336,173.435516,168.51828,171.995056,171.995056,1090383716
2020-07-20,172.178497,172.902969,168.538162,169.359894,169.359894,1055569739
2020-07-21,169.344254,179.189911,169.070084,177.38002,177.38002,1241046357
2020-07-22,177.396286,181.784592,175.285889,181.70816,181.70816,1221707999
2020-07-23,180.513901,186.387527,180.268951,184.259094,184.259094,1376147916
2020-07-24,184.202774,184.372559,179.638245,181.617737,181.617737,1267538795
2020-07-25,180.812073,190.270081,180.660095,190.270081,190.270081,1380403936
2020-07-26,190.662613,194.710815,186.981018,190.035675,190.035675,1563434752
2020-07-27,190.024918,211.97142,189.839111,207.326828,207.326828,1933897783
2020-07-28,207.899582,218.670303,202.113541,214.147537,214.147537,2072101867
2020-07-29,214.356125,219.109741,211.725342,213.399536,213.399536,1685108193
2020-07-30,213.521729,218.225983,209.928909,215.355667,215.355667,1658274601
2020-07-31,215.969955,230.53093,212.608795,229.836899,229.836899,1925234096
2020-08-01,229.836899,244.153076,227.423431,243.348358,243.348358,2316011889
2020-08-02,243.671234,252.975143,213.557068,217.816162,217.816162,2677273031
2020-08-03,217.836243,233.648911,216.814911,228.121796,228.121796,1809758255
2020-08-04,228.115112,232.928314,219.3461,224.668747,224.668747,1718721505
2020-08-05,224.738358,235.325668,223.546692,234.167892,234.167892,1476218661
2020-08-06,234.098434,240.47345,230.061844,236.602325,236.602325,1556497463
2020-08-07,236.560867,241.601273,223.559586,228.979691,228.979691,1650015705
2020-08-08,229.019165,233.908752,227.4375,232.745682,232.745682,1272232086
2020-08-09,232.980225,234.109314,220.666046,224.045059,224.045059,1213167418
2020-08-10,224.174423,229.793732,224.090302,225.998474,225.998474,1297276831
2020-08-11,226.009796,227.379944,204.881775,210.762314,210.762314,1151143154
2020-08-12,210.846283,212.606369,200.382202,209.290955,209.290955,893247632
2020-08-13,210.846283,212.606369,200.382202,209.290955,209.290955,893247632
2020-08-14,210.846283,212.606369,200.382202,209.290955,209.290955,893247632
2020-08-15,210.846283,212.606369,200.382202,209.290955,209.290955,893247632
2020-08-16,223.893204,228.174103,214.268112,222.831711,222.831711,969331160
2020-08-17,222.831711,228.441345,218.271881,224.245789,224.245789,963973296
2020-08-18,224.494736,233.253067,217.295975,217.295975,217.295975,989583762
2020-08-19,217.270081,218.645111,203.486542,206.518112,206.518112,934541279
2020-08-20,206.452072,209.76738,205.286407,208.948776,208.948776,652842403
2020-08-21,208.91362,211.170242,197.465515,197.465515,197.465515,816282428
2020-08-22,197.353333,197.404846,190.667847,196.658279,196.658279,749933578
2020-08-23,196.701431,196.86554,192.096039,194.861115,194.861115,602797545
2020-08-24,194.79126,206.716675,193.916687,203.832031,203.832031,775166913
2020-08-25,203.783066,203.813614,186.513077,192.080826,192.080826,770117025
2020-08-26,192.144806,193.895615,188.165054,191.415634,191.415634,621682357
2020-08-27,191.330399,192.385605,184.245056,185.952148,185.952148,605773369
2020-08-28,191.330399,192.385605,184.245056,185.952148,185.952148,605773369
2020-08-29,191.330399,192.385605,184.245056,185.952148,185.952148,605773369
2020-08-30,190.311569,196.92514,189.605087,196.501373,196.501373,1102059133
2020-08-31,196.58252,200.042816,192.135727,192.845444,192.845444,638195330
2020-09-01,192.798553,207.113968,189.899567,203.666245,203.666245,896545578
2020-09-02,203.847504,204.919724,178.732727,183.57164,183.57164,929037178
2020-09-03,183.503586,184.863449,149.815292,152.348328,152.348328,917281229
2020-09-04,152.251801,165.48468,152.13533,160.562439,160.562439,948815228
2020-09-05,160.524918,170.439514,151.255966,162.099823,162.099823,1393263732
2020-09-06,162.099823,167.354385,159.425125,163.502213,163.502213,1299598990
2020-09-07,163.43811,175.986832,161.086197,174.154602,174.154602,1705638023
2020-09-08,174.199997,178.897812,166.39212,170.565475,170.565475,1554219114
2020-09-09,170.628738,173.098099,166.700851,169.576431,169.576431,1013549692
2020-09-10,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-11,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-12,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-13,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-14,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-15,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-16,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-17,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-18,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-19,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-20,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-21,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-22,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-23,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-24,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-25,169.554398,172.914551,164.983902,166.701675,166.701675,1122149508
2020-09-26,156.015732,166.645676,154.901199,163.782013,163.782013,593194753
2020-09-27,163.755905,173.913406,160.940414,170.013672,170.013672,750534844
2020-09-28,170.013672,176.527512,168.690308,168.841492,168.841492,778556077
2020-09-29,168.552475,172.470032,167.908035,172.311096,172.311096,575098749
2020-09-30,171.824631,179.34642,170.467072,171.740234,171.740234,719803438
2020-10-01,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-02,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-03,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-04,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-05,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-06,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-07,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-08,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-09,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-10,171.740234,177.411591,165.10994,170.319473,170.319473,704986033
2020-10-11,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-12,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-13,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-14,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-15,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-16,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-17,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-18,170.905426,174.254242,170.183807,172.030731,172.030731,621020043
2020-10-19,160.517105,161.116318,158.698959,159.980164,159.980164,610553488
2020-10-20,159.961884,160.581711,155.721451,157.592087,157.592087,1052715584
